Away,Home,AwayPred,HomePred,AwayPwin,HomePwin,AwayMargin,HomeMargin
Clemson,Florida St,60,61,49.03,50.96,2.5,-0.5
Kansas St,Texas Tech,61,57,62.02,37.97,-3.5,4
Akron,Ohio,69,65,62.41,37.59,-3.5,2.5
Youngstown St,Cleveland St,63,77,9.29,90.71,14,-13.5
Loyola-Chicago,Missouri St,58,57,50.5,49.49,-0.5,-2.5
Buffalo,Ball St,75,68,76,23.99,-7.5,6.5
Colorado St,Wyoming,62,64,44.37,55.62,1,-2.5
Marquette,Villanova,58,74,6.27,93.73,15.5,-16.5
Bowling Green,C Michigan,66,70,35.63,64.36,4,-4.5
East Carolina,Connecticut,55,69,8.92,91.08,13.5,-14.5
Penn St,Maryland,61,71,15.52,84.48,8.5,-10.5
E Michigan,Toledo,63,69,27.28,72.72,6.5,-6.5
Creighton,Xavier,65,78,10.08,89.92,14.5,-13.5
Jacksonville St,Memphis,55,74,4.3,95.7,18,-18.5
Kent,W Michigan,66,69,39.4,60.59,3,-3.5
St Bonaventure,Davidson,71,82,13.4,86.6,8.5,-11.5
Texas A&M,Mississippi,67,71,36.49,63.5,6,-3.5
Liberty,Winthrop,58,73,7.56,92.44,---,-14.5
New Mexico,Air Force,66,60,69.75,30.24,-5.5,4.5
Hofstra,Delaware,81,74,74.17,25.83,-6.5,4.5
San Diego St,Nevada,61,49,86.28,13.72,-11.5,10.5
N Illinois,Miami OH,63,66,40.51,59.48,1.5,-2.5
Missouri,Alabama,55,67,12.86,87.14,10,-11.5
Detroit,Valparaiso,63,73,15.99,84.01,10,-10.5
NC A&T,Charlotte,62,78,6.07,93.93,---,-16.5
New Hampshire,Albany NY,58,65,24.33,75.66,---,-7.5
S Illinois,Drake,58,61,40.86,59.14,-1,-2.5
Towson,Northeastern,59,68,20.14,79.86,9,-8.5
Loyola MD,American Univ,51,58,27.2,72.79,---,-6.5
Georgia Tech,Duke,62,77,7.86,92.13,16.5,-14.5
Ohio St,Purdue,72,69,57.62,42.38,-2.5,2.5
Army,Lehigh,73,75,42.96,57.03,---,-2.5
Massachusetts,Fordham,72,65,74.06,25.94,-6.5,6
Oklahoma St,Texas,61,66,31.62,68.38,6,-5.5
TCU,Baylor,56,66,17.52,82.47,8,-9.5
San Jose St,Fresno St,49,70,3.14,96.86,18.5,-21.5
Washington,Oregon,71,76,30.38,69.61,6,-5.5
Boston College,Notre Dame,64,78,8.81,91.19,13,-13.5
VA Commonwealth,George Mason,74,64,84.06,15.94,-10.5,10
Texas St,South Alabama,68,66,55.16,44.83,-2.5,1
Navy,Boston Univ,65,69,34.77,65.23,---,-4.5
Providence,Georgetown,64,70,26.97,73.02,7,-6.5
St Andrew's,S Carolina St,44,77,0.53,99.47,---,-33.5
Wichita St,Bradley,67,50,93.72,6.28,-17.5,16
Oakland,IL Chicago,76,71,68.84,31.16,-5.5,4.5
Temple,South Florida,68,60,77.83,22.16,-8.5,7
Bucknell,Lafayette,72,75,41.09,58.91,---,-2.5
UNC Wilmington,James Madison,68,72,37.51,62.49,4,-3.5
UNC Greensboro,VMI,78,82,36.99,63.01,---,-3.5
