Team,Rate
Royals,1.84573
Giants,1.33342
Nationals,0.975966
Angels,0.684139
Orioles,0.683777
Dodgers,0.609604
Mariners,0.601922
Indians,0.512059
Pirates,0.483975
Cardinals,0.3989
Yankees,0.316203
Mets,0.159709
Tigers,0.077693
Rays,-0.123527
Blue Jays,-0.194051
Athletics,-0.209111
Brewers,-0.235283
Braves,-0.253136
Phillies,-0.415391
Padres,-0.425402
Cubs,-0.437907
Red Sox,-0.473506
Marlins,-0.478471
White Sox,-0.481788
Rangers,-0.490633
Twins,-0.601323
Reds,-0.665571
Astros,-0.722581
Diamondbacks,-1.52972
Rockies,-1.75657
