

Home,Visitor,Line,AVG,SAG,SELO,SPTS,SGM,MOR,DONC,FOX,DOK,PUGH,ASH,NP,7,OT,ERF,PIR,PIW,PIB,Home,Visitor,
</b>,
Arkansas,South Carolina,7.00,5.77,5.71,9.20,3.31,4.21,4.49,8.00,7.00,6.79,2.94,7.00,5.55,5.00,5.80,.,.,.,Arkansas,South Carolina,
Butler,St. John's,6.00,6.97,7.80,7.20,7.77,8.63,6.67,5.70,7.00,6.46,7.16,8.00,5.22,6.00,7.00,.,.,.,Butler,St. John's,
DePaul,Seton Hall,-2.50,-3.82,-3.85,-4.53,-4.41,-2.47,-3.07,-3.70,-4.00,-2.98,-5.17,-4.00,-1.70,-7.00,-2.80,.,.,.,DePaul,Seton Hall,
Florida InternationalFlorida Atlantic,4.00,3.21,3.27,5.22,3.24,1.26,1.73,3.80,6.00,2.81,1.71,3.00,5.34,1.00,3.40,.,.,.,Florida International Florida Atlantic,
Illinois,Rutgers,11.00,12.87,12.25,9.68,14.20,12.70,16.13,11.10,14.00,12.36,12.45,15.00,12.46,12.00,13.00,.,.,.,Illinois,Rutgers,
Illinois St.,Evansville,6.00,5.87,5.74,4.23,6.72,5.99,6.62,6.00,8.00,5.84,6.04,6.00,6.96,4.00,4.20,.,.,.,Illinois St.,Evansville,
Indiana St.,Northern Iowa,-6.50,-8.91,-10.44,-13.38,-9.93,-9.35,-8.93,-7.70,-7.00,-7.28,-10.04,-9.00,-6.36,-10.00,-6.40,.,.,.,Indiana St.,Northern Iowa,
Kentucky,Georgia,18.00,18.68,21.47,22.67,20.87,21.11,20.48,18.20,19.00,20.08,17.70,18.00,17.73,8.00,17.50,.,.,.,Kentucky,Georgia,
Miami-Florida,Louisville,-4.50,-3.70,-3.62,-5.21,-4.53,-0.48,-6.97,-5.90,-5.00,-4.90,-3.92,-5.00,-2.06,1.00,-1.50,.,.,.,Miami-Florida,Louisville,
Nebraska,Northwestern,7.00,5.70,5.23,7.48,4.10,4.19,6.47,8.40,5.00,7.14,5.02,6.00,3.69,6.00,5.40,.,.,.,Nebraska,Northwestern,
Oklahoma,West Virginia,5.50,4.70,3.89,2.97,5.37,3.64,6.44,5.30,7.00,5.13,3.93,6.00,5.03,3.00,3.40,.,.,.,Oklahoma,West Virginia,
Saint Louis,St. Joseph's PA,0.00,-0.72,-1.41,-0.80,-1.29,-2.19,-0.83,-0.10,-1.00,-2.07,-1.61,1.00,-0.38,-1.00,2.30,.,.,.,Saint Louis,St. Joseph's PA,
Syracuse,Virginia Tech,11.50,12.85,12.84,12.68,13.22,12.93,13.37,11.70,12.00,12.98,12.40,14.00,16.31,13.00,9.60,.,.,.,Syracuse,Virginia Tech,
Tennessee,Mississippi St.,9.00,9.94,9.58,11.88,9.18,7.93,10.68,11.10,10.00,9.49,9.05,12.00,10.48,10.00,7.90,.,.,.,Tennessee,Mississippi St.,
Utah St.,Boise St.,-1.50,-2.65,-3.17,-3.09,-2.73,-3.83,-4.61,-2.30,-2.00,-2.18,-1.72,-2.00,-3.37,-1.00,-2.40,.,.,.,Utah St.,Boise St.,
VMI,NC Greensboro,7.00,7.49,8.00,10.12,6.78,8.03,8.01,.,8.00,5.68,.,9.00,.,5.00,6.30,.,.,.,VMI,NC Greensboro,
Vanderbilt,Florida,-2.50,-0.95,-0.48,0.29,-0.76,-1.68,-1.16,-1.90,-1.00,-3.29,-0.54,-2.00,-1.08,-1.00,2.30,.,.,.,Vanderbilt,Florida,
Wake Forest,North Carolina St.,-1.00,-2.57,-2.94,-2.60,-2.80,-3.73,-2.55,-3.70,-2.00,-1.85,-4.59,-3.00,-0.60,-2.00,-1.00,.,.,.,Wake Forest,North Carolina St.,
Wisconsin,Indiana,16.00,14.47,14.48,11.03,16.00,17.52,17.57,13.60,16.00,15.06,14.54,15.00,15.70,9.00,12.60,.,.,.,Wisconsin,Indiana,
</pre>,
